permit_number,issue_date,project_value,type_of_work,address,PostalCode,building_contractor,property_use,year,n,FSA,logPropVal
BP-2019-05695,2020-02-06,30000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,Solid General Contractors Inc,Dwelling Uses,2020,44, V6G,4.477121254719663
BP-2020-00088,2020-02-13,5000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,NA,Office Uses,2020,40, V6E,3.6989700043360187
BP-2019-00234,2020-02-21,14500000,New Building,"3505 W 7TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Institutional Uses,2020,843, V1V,7.161368002234975
BP-2018-06532,2020-02-25,60000,Demolition / Deconstruction,"2525 STEPHENS STREET, Vancouver, BC V1V 1V1", V1V 1V1,MWL Demolition Ltd,Retail Uses,2020,843, V1V,4.778151250383644
BP-2019-05763,2020-02-25,175000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Central West Project Management Inc,Office Uses,2020,113, V7Y,5.243038048686294
DB-2017-02075,2017-09-14,1081550,New Building,"908 E 27TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,6.034046601650425
DB-2017-02078,2017-09-14,227275,New Building,"928 E 27TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.356551666436917
DB-2016-02055,2017-09-19,1355185,New Building,"5188 YEW STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,6.131998585981554
BP-2017-04793,2017-09-21,1200000,New Building,"2577 ST. GEORGE STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,6.079181246047625
DB-2016-03535,2017-09-21,165000,New Building,"2732 TURNER STREET, Vancouver, BC V1V 1V1", V1V 1V1,Ronse Massey Developments Inc,Dwelling Uses,2017,843, V1V,5.217483944213907
BP-2017-04215,2017-09-25,1200000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Reotech Construction Ltd,Office Uses,2017,41, V6E,6.079181246047625
BP-2016-04210,2017-09-27,318432,New Building,"2873 E 40TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,HBD Homes Ltd,Dwelling Uses,2017,843, V1V,5.503016704559051
BP-2017-05077,2017-10-03,50000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Central West Project Management Inc,Office Uses,2017,38, V6C,4.698970004336019
BP-2017-03887,2017-10-05,153000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,5.184691430817598
BP-2017-04613,2017-10-06,60000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Retail Uses,2017,46, V6B,4.778151250383644
DB-2017-00143,2017-10-10,1097887,New Building,"1898 W 62ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,First Block Holdings Ltd,Dwelling Uses,2017,843, V1V,6.04055764266243
BP-2017-03988,2017-10-11,37000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.568201724066995
BP-2017-03990,2017-10-11,37000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.568201724066995
BP-2017-05244,2017-10-12,40000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,VPAC Construction Group Ltd,Office Uses,2017,40, V6E,4.6020599913279625
DB-2017-03268,2017-10-13,154657.5,New Building,"370 E 65TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.189370985636547
BP-2017-04182,2017-10-17,62000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Halse Martin Construction Co Ltd,Office Uses,2017,44, V6E,4.7923916894982534
DB-2017-02169,2017-10-20,145000,New Building,"3607 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,JSS Development Ltd,Dwelling Uses,2017,843, V1V,5.161368002234975
DB-2017-02715,2017-10-23,205250,New Building,"2165 E 20TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Rain City Renovations Ltd,Dwelling Uses,2017,843, V1V,5.312283165791478
DB-2017-03029,2017-10-25,170500,New Building,"3121 E 3RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Animark Holdings,Dwelling Uses,2017,843, V1V,5.231724383328516
BP-2017-03366,2017-10-30,1653250,New Building,"4128 OSLER STREET, Vancouver, BC V1V 1V1", V1V 1V1,C-Val Ltd,Dwelling Uses,2017,843, V1V,6.218338531376019
DB-2017-01546,2017-10-31,975575,New Building,"3728 COLUMBIA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Victoreric Premium Homes Ltd,Dwelling Uses,2017,843, V1V,5.989260662591712
BP-2017-03374,2017-11-01,35000,Demolition / Deconstruction,"5355 CAMBIE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Hans Demolition and Excavating Ltd.,Dwelling Uses,2017,843, V1V,4.544068044350276
BP-2017-05559,2017-11-03,31600,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Willow Spring Construction BC Ltd,Office Uses,2017,31, V6E,4.4996870826184034
DB-2017-03229,2017-11-08,225000,New Building,"4328 OSLER STREET, Vancouver, BC V1V 1V1", V1V 1V1,R&M VANCOUVER CONSTRUCTION CO LTD,Dwelling Uses,2017,843, V1V,5.352182518111363
BP-2017-05031,2017-11-14,10000,Salvage and Abatement,"1380 HORNBY STREET, Vancouver, BC V1V 1V1", V1V 1V1,MWL Demolition Ltd,Dwelling Uses,2017,843, V1V,4
DB-2017-03063,2017-11-15,161250,New Building,"1172 E 43RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,HSM Custom Homes Ltd,Dwelling Uses,2017,843, V1V,5.207499723307305
BP-2017-05355,2017-11-20,215000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,Syncor Solutions Limited,Office Uses,2017,33, V6E,5.332438459915605
DB-2017-03296,2017-11-24,143750,New Building,"135 W 21ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,TSL Laneway Homes Ltd,Dwelling Uses,2017,843, V1V,5.157607853361668
BP-2017-05408,2017-11-30,20000,Addition / Alteration,"STANLEY PARK BREWING 8901 STANLEY PARK DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Service Uses,2017,843, V1V,4.301029995663981
DB-2017-03150,2017-11-30,20000,Addition / Alteration,"2832 MCGILL STREET, Vancouver, BC V1V 1V1", V1V 1V1,Tong Chow Construction Ltd,Dwelling Uses,2017,843, V1V,4.301029995663981
DB-2017-03743,2017-11-30,225000,New Building,"5650 COLLEGE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Fixright Construction Ltd,Dwelling Uses,2017,843, V1V,5.352182518111363
DB-2017-04131,2017-12-01,164250,New Building,"7528 BORDEN STREET, Vancouver, BC V1V 1V1", V1V 1V1,Duric Development Ltd,Dwelling Uses,2017,843, V1V,5.215505378231819
DB-2017-03584,2017-12-08,225000,New Building,"2260 W 16TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,KETLER CONSTRUCTION INC,Dwelling Uses,2017,843, V1V,5.352182518111363
BP-2017-05990,2017-12-11,15000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,NA,Office Uses,2017,41, V6E,4.176091259055681
DB-2017-04238,2017-12-13,196000,New Building,"7246 GLADSTONE STREET, Vancouver, BC V1V 1V1", V1V 1V1,VANCOR DEVELOPMENT LTD,Dwelling Uses,2017,843, V1V,5.292256071356476
BP-2017-05261,2017-12-14,151297,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,Omicron Construction Ltd,Office Uses,2017,33, V6E,5.179830316679084
DB-2016-04079,2017-12-15,225000,New Building,"3288 CAROLINA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Douglas Park Construction Ltd,Dwelling Uses,2017,843, V1V,5.352182518111363
DB-2017-05320,2017-12-19,19880,Demolition / Deconstruction,"5229 CAMBIE STREET, Vancouver, BC V1V 1V1", V1V 1V1,CANTON EXCAVATING LTD.,Dwelling Uses,2017,843, V1V,4.298416380061295
DB-2017-05322,2017-12-19,15800,Demolition / Deconstruction,"5269 CAMBIE STREET, Vancouver, BC V1V 1V1", V1V 1V1,CANTON EXCAVATING LTD.,Dwelling Uses,2017,843, V1V,4.198657086954422
BP-2017-06120,2017-12-20,5000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Focus Project Management Ltd,Office Uses,2017,41, V6E,3.6989700043360187
DB-2017-04267,2017-12-20,201750,New Building,"99 E 58TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Metro-City Projects Inc,Dwelling Uses,2017,843, V1V,5.304813543394108
BP-2017-04859,2017-12-21,227700,Addition / Alteration,"8540 RIVER DISTRICT CROSSING, Vancouver, BC V1V 1V1", V1V 1V1,NA,Service Uses,2017,843, V1V,5.357363030615143
DB-2017-00398,2017-12-21,1200098,New Building,"1533 NANTON AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NIEBUHR CONSTRUCTION,Dwelling Uses,2017,843, V1V,6.079216711982141
BP-2017-06311,2018-01-05,5000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Fusion Project Management Ltd,Office Uses,2018,38, V6C,3.6989700043360187
DB-2017-02975,2018-01-11,181500,New Building,"6238 WALES STREET, Vancouver, BC V1V 1V1", V1V 1V1,Tyko Development Ltd,Dwelling Uses,2018,843, V1V,5.258876629372131
BP-2017-06324,2018-01-15,2000000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Canadian Turner Construction Company Ltd,Office Uses,2018,44, V6E,6.301029995663981
BP-2017-06519,2018-01-19,450000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2018,40, V6C,5.653212513775344
DB-2017-03243,2018-01-19,218500,New Building,"46 DIEPPE PLACE, Vancouver, BC V1V 1V1", V1V 1V1,Sooke Holdings Ltd,Dwelling Uses,2018,843, V1V,5.339451441306441
BP-2017-06422,2018-01-23,46500,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Focus Project Management Ltd,Office Uses,2018,41, V6E,4.6674529528899535
BP-2017-06426,2018-01-23,18500,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,NA,Office Uses,2018,41, V6E,4.267171728403014
DB-2017-03721,2018-01-23,161250,New Building,"3938 MACDONALD STREET, Vancouver, BC V1V 1V1", V1V 1V1,DLP Designs Inc,Dwelling Uses,2018,843, V1V,5.207499723307305
DB-2017-00448,2018-01-25,340000,New Building,"2322 FERNDALE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Lanefab Design Build Ltd,Dwelling Uses,2018,843, V1V,5.531478917042255
DB-2017-04153,2018-01-26,257500,New Building,"3214 E 53RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,GB Holdings Ltd,Dwelling Uses,2018,843, V1V,5.4107772333772095
DB-2017-04035,2018-01-29,130485,New Building,"68 E 29TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Gemlevy Projects Ltd,Dwelling Uses,2018,843, V1V,5.115560589899212
BP-2018-00289,2018-01-30,30000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings,Office Uses,2018,44, V6E,4.477121254719663
DB-2017-03464,2018-02-01,225000,New Building,"2429 E 54TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,C-Best Construction Ltd,Dwelling Uses,2018,843, V1V,5.352182518111363
BP-2017-06495,2018-02-02,60000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,NA,Office Uses,2018,44, V6E,4.778151250383644
DB-2017-05652,2018-02-07,161960,New Building,"4412 W 8TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Overton Construction Ltd,Dwelling Uses,2018,843, V1V,5.2094077680963755
BP-2018-00099,2018-02-14,50000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Office Uses,2018,113, V7Y,4.698970004336019
BP-2018-00194,2018-02-14,150000,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,NA,Office Uses,2018,41, V6C,5.176091259055681
BP-2016-04680,2018-02-15,18264600,New Building,"6363 LANARK STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Institutional Uses,2018,843, V1V,7.261610165477857
BP-2018-00313,2018-02-16,300000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Vestacon Limited,Office Uses,2018,113, V7Y,5.477121254719663
DB-2018-00199,2018-02-21,43000,Addition / Alteration,"1380 HORNBY STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Service Uses,2018,843, V1V,4.633468455579586
DB-2017-03954,2018-02-26,144750,New Building,"3173 E GEORGIA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2018,843, V1V,5.160618572399474
BP-2018-00297,2018-02-28,300000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2018,46, V6B,5.477121254719663
BP-2018-00683,2018-03-01,75000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,NA,Retail Uses,2018,33, V6E,4.8750612633917
BP-2018-00605,2018-03-02,7500,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,VPAC Construction Group Ltd,Office Uses,2018,41, V6E,3.8750612633917
BP-2017-05762,2018-03-05,100000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,5
BP-2018-00762,2018-03-05,60000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings Ltd,Office Uses,2018,44, V6E,4.778151250383644
BP-2018-00786,2018-03-05,60000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings Ltd,Office Uses,2018,44, V6E,4.778151250383644
DB-2016-03158,2018-03-05,576600,New Building,"3308 AUSTREY AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Jagraj Enterprises Ltd,Dwelling Uses,2018,843, V1V,5.760874638052189
BP-2018-00727,2018-03-06,50000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,Allspaces Design & Management Ltd,Office Uses,2018,46, V6B,4.698970004336019
DB-2017-06146,2018-03-07,727345,New Building,"3393 PRICE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Mountainview Enterprises Ltd,Dwelling Uses,2018,843, V1V,5.861740457703586
DB-2017-04351,2018-03-09,159000,New Building,"5779 CHESTER STREET, Vancouver, BC V1V 1V1", V1V 1V1,GB Holdings Ltd,Dwelling Uses,2018,843, V1V,5.201397124320452
DB-2017-06221,2018-03-12,703500,New Building,"3219 W 16TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Sharp Projects Ltd,Dwelling Uses,2018,843, V1V,5.847264101770764
DB-2017-05053,2018-03-16,167750,New Building,"1530 WINDERMERE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Metro-City Projects Inc,Dwelling Uses,2018,843, V1V,5.22466252884103
DB-2017-02716,2018-03-20,651100,New Building,"1901 E 22ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Himalyan Construction Ltd,Dwelling Uses,2018,843, V1V,5.813647695346897
DB-2017-03708,2018-03-21,196425,New Building,"2339 NOOTKA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Royal Blue Development Ltd,Dwelling Uses,2018,843, V1V,5.293196761816932
DB-2017-02603,2018-03-23,223500,New Building,"3738 COLUMBIA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Victoreric Premium Homes Ltd,Dwelling Uses,2018,843, V1V,5.349277527467955
DB-2017-03408,2018-03-23,162727.5,New Building,"3235 W 33RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Yuvraj Properties Ltd,Dwelling Uses,2018,843, V1V,5.2114609523777835
BP-2018-00916,2018-03-28,71000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,4.8512583487190755
BP-2018-00919,2018-03-28,71000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,4.8512583487190755
BP-2018-00920,2018-03-28,71000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,4.8512583487190755
BP-2018-00924,2018-03-28,71000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,4.8512583487190755
BP-2018-00159,2018-04-04,50000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2018,40, V6C,4.698970004336019
BP-2018-00183,2018-04-04,50000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2018,40, V6C,4.698970004336019
DB-2017-03780,2018-04-04,147120,New Building,"7038 STIRLING STREET, Vancouver, BC V1V 1V1", V1V 1V1,Brillance Construction & Development Ltd,Dwelling Uses,2018,843, V1V,5.167671716230021
BP-2018-01340,2018-04-05,65000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Central West Project Management Inc,Office Uses,2018,38, V6C,4.812913356642856
DB-2016-03656,2018-04-05,222000,New Building,"1581 WINDERMERE STREET, Vancouver, BC V1V 1V1", V1V 1V1,True Design Homes Ltd,Dwelling Uses,2018,843, V1V,5.346352974450639
BP-2018-00499,2018-04-06,80173,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Curve Construction Inc,Office Uses,2018,31, V6E,4.904028134801941
BP-2017-03508,2018-04-09,15000,Demolition / Deconstruction,"3788 W 36TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,JVT Excavating & Demolition Ltd,Dwelling Uses,2018,843, V1V,4.176091259055681
BP-2018-01629,2018-04-12,60000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,NA,Office Uses,2018,33, V6E,4.778151250383644
DB-2017-04300,2018-04-12,1126625,New Building,"2838 E 51ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Pacific Gate Development Group Ltd,Dwelling Uses,2018,843, V1V,6.051779384074535
DB-2017-03204,2018-04-13,190987,New Building,"2237 E 4TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2018,843, V1V,5.28100380693145
DB-2017-05967,2018-04-17,180000,New Building,"6125 MANITOBA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Metro-City Projects Inc,Dwelling Uses,2018,843, V1V,5.2552725051033065
DB-2017-00760,2018-04-19,213500,New Building,"7937 SOPHIA STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.329397879361043
BP-2017-01185,2018-04-20,962500,New Building,"1031 CARDERO STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.9834007381805385
DB-2018-00401,2018-04-20,214307.5,New Building,"4840 ROSS STREET, Vancouver, BC V1V 1V1", V1V 1V1,Sodhi Development Ltd,Dwelling Uses,2018,843, V1V,5.331037370069446
DB-2017-06251,2018-04-25,25000,Demolition / Deconstruction,"1695 E 18TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Hans Demolition and Excavating Ltd.,Dwelling Uses,2018,843, V1V,4.3979400086720375
DB-2017-04690,2018-04-26,225000,New Building,"5335 MACKENZIE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2018,843, V1V,5.352182518111363
BP-2018-00606,2018-04-30,120000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,0855741 BC Ltd,Office Uses,2018,41, V6E,5.079181246047625
DB-2017-04104,2018-04-30,702250,New Building,"2463 MCGILL STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,5.846491747873616
DB-2017-04116,2018-04-30,176500,New Building,"84 W 45TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,0887635 BC Ltd,Dwelling Uses,2018,843, V1V,5.246744709723841
DB-2017-04695,2018-04-30,1275777.5,New Building,"863 W 52ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,C-Val Ltd,Dwelling Uses,2018,843, V1V,6.105774938532415
DB-2018-00334,2018-05-03,25000,Addition / Alteration,"2108 W 22ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Rain City Renovations Ltd,Dwelling Uses,2018,843, V1V,4.3979400086720375
DB-2017-03850,2018-05-07,177750,New Building,"6851 SHERBROOKE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Grand City Development Ltd,Dwelling Uses,2018,843, V1V,5.249809609401804
DB-2017-04428,2018-05-07,137500,New Building,"7738 ST. GEORGE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Altima Contracting Ltd,Dwelling Uses,2018,843, V1V,5.138302698166282
BP-2018-01727,2018-05-09,10000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,NA,Office Uses,2018,40, V6E,4
BP-2018-00502,2018-05-11,1704804.55,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,NA,Office Uses,2018,32, V6H,6.231674595808243
BP-2018-01953,2018-05-11,109676,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,Curve Construction Inc,Office Uses,2018,40, V6E,5.040111602890085
BP-2017-06328,2018-05-14,900000,Addition / Alteration,"8 E 5TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Pacific Solutions Contracting Ltd,Service Uses,2018,843, V1V,5.954242509439325
BP-2018-02074,2018-05-15,80000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,4.903089986991944
DB-2016-01421,2018-05-15,194250,New Building,"648 RUPERT STREET, Vancouver, BC V1V 1V1", V1V 1V1,European Style Homes Ltd,Dwelling Uses,2018,843, V1V,5.288361027472952
BP-2018-02452,2018-05-16,150000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,Gibraltar Holdings Ltd,Office Uses,2018,33, V6E,5.176091259055681
BP-2018-02436,2018-05-17,75000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Fusion Project Management Ltd,Office Uses,2018,38, V6C,4.8750612633917
BP-2018-01035,2018-05-18,5700000,New Building,"2132 ASH STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,6.7558748556724915
DB-2017-03960,2018-05-18,150750,New Building,"1236 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mohinder Khaira,Dwelling Uses,2018,843, V1V,5.178257320812189
DB-2017-03963,2018-05-18,161250,New Building,"1242 E 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mohinder Khaira,Dwelling Uses,2018,843, V1V,5.207499723307305
BP-2018-02548,2018-05-22,85000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,NA,Office Uses,2018,40, V6E,4.929418925714293
DB-2017-02503,2018-05-23,1419250,New Building,"6509 MARGUERITE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Kingstar Building Ltd.,Dwelling Uses,2018,843, V1V,6.15205890289745
DB-2017-02504,2018-05-23,225000,New Building,"6519 MARGUERITE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Kingstar Building Ltd.,Dwelling Uses,2018,843, V1V,5.352182518111363
DB-2018-00085,2018-05-23,197112,New Building,"3055 TRIMBLE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Vancouver Lower Mainland Construction Ltd,Dwelling Uses,2018,843, V1V,5.29471306453892
BP-2017-05913,2018-05-25,19587648,New Building,"1771 E 18TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Cressey 18th Avenue Holdings Ltd,Dwelling Uses,2018,843, V1V,7.291982290923513
DB-2017-05817,2018-05-29,161000,New Building,"777 E 58TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Grand Van Homes Inc,Dwelling Uses,2018,843, V1V,5.20682587603185
DB-2018-01768,2018-05-29,325000,Addition / Alteration,"1508 E HASTINGS STREET, Vancouver, BC V1V 1V1", V1V 1V1,Woodbrook Construction Limited,Retail Uses,2018,843, V1V,5.511883360978874
DB-2017-04090,2018-06-06,124350,New Building,"617 E 65TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Trans Pacific Homes Inc,Dwelling Uses,2018,843, V1V,5.094645789605955
DB-2018-00027,2018-06-06,168285,New Building,"5620 INVERNESS STREET, Vancouver, BC V1V 1V1", V1V 1V1,K.A.O. Construction Design Studio Inc,Dwelling Uses,2018,843, V1V,5.226045407077728
DB-2018-01721,2018-06-06,20000,Demolition / Deconstruction,"151 W 41ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,3R Demolition Corp,Dwelling Uses,2018,843, V1V,4.301029995663981
BP-2018-02733,2018-06-08,350000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2018,113, V7Y,5.544068044350276
DB-2017-04170,2018-06-08,218250,New Building,"2850 EUCLID AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Ngoc The Nguyen,Dwelling Uses,2018,843, V1V,5.338954252377607
DB-2017-06496,2018-06-11,239090,New Building,"769 E 19TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Taymac Contracting Inc,Dwelling Uses,2018,843, V1V,5.378561412018576
BP-2017-05742,2018-06-12,337000,New Building,"1248 E 23RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,G H Street Development Ltd,Dwelling Uses,2018,843, V1V,5.5276299008713385
BP-2018-02328,2018-06-14,177500,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Counterpoint Interiors Inc,Office Uses,2018,44, V6E,5.249198357391113
BP-2018-02902,2018-06-18,45000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,Reotech Construction Ltd,Office Uses,2018,46, V6B,4.653212513775344
BP-2018-02949,2018-06-18,40000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Allspaces Design & Management Ltd,Office Uses,2018,41, V6E,4.6020599913279625
